dataset,method,model_name,recall_acc,test_acc,forget_label_0,forget_label_1,forget_label_3,forget_label_5,forget_label_6,forget_label_11,forget_label_22,forget_label_33,forget_label_44,forget_label_55,forget_label_51,forget_label_101,forget_label_151,forget_label_198,forget_label_7,forget_label_9
tinyimg,GA,resnet18,"(44.56000041503906, 6.72)","(32.48649727275167, 100.0)",,"(43.20000076293945, 3.5999999999999996)",,,,,,,,,"(38.400001525878906, 0.8)","(54.400001525878906, 14.799999999999999)","(38.79999923706055, 2.8000000000000003)","(48.0, 11.600000000000001)",,
tinyimg,IU,resnet18,"(14.96, 6.72)","(23.42468493364887, 100.0)",,"(23.600000381469727, 3.5999999999999996)",,,,,,,,,"(5.599999904632568, 0.8)","(9.600000381469727, 14.799999999999999)","(36.0, 2.8000000000000003)","(0.0, 11.600000000000001)",,
tinyimg,FT_prune,resnet18,"(31.039999948120116, 6.72)","(33.46669332340589, 100.0)",,"(55.20000076293945, 3.5999999999999996)",,,,,,,,,"(18.0, 0.8)","(35.20000076293945, 14.799999999999999)","(28.80000114440918, 2.8000000000000003)","(18.0, 11.600000000000001)",,
tinyimg,retrain,vgg16,"(38.7200003112793, 6.72)","(49.68993796852022, 100.0)",,"(60.0, 3.5999999999999996)",,,,,,,,,"(31.200000762939453, 0.8)","(44.0, 14.799999999999999)","(23.200000762939453, 2.8000000000000003)","(35.20000076293945, 11.600000000000001)",,
tinyimg,FT,vgg16,"(41.04000006103516, 6.72)","(47.649529825856526, 100.0)",,"(63.20000076293945, 3.5999999999999996)",,,,,,,,,"(28.399999618530273, 0.8)","(47.60000228881836, 14.799999999999999)","(27.600000381469727, 2.8000000000000003)","(38.400001525878906, 11.600000000000001)",,
tinyimg,FF,vgg16,"(0, 0)","(0, 0)",,"(0, 0)",,,,,,,,,"(0, 0)","(0, 0)","(0, 0)","(0, 0)",,
tinyimg,GA,vgg16,"(34.87999999694824, 6.72)","(44.9089817791897, 100.0)",,"(36.400001525878906, 3.5999999999999996)",,,,,,,,,"(35.20000076293945, 0.8)","(39.20000076293945, 14.799999999999999)","(30.80000114440918, 2.8000000000000003)","(32.79999923706055, 11.600000000000001)",,
tinyimg,IU,vgg16,"(23.040000004196166, 6.72)","(42.18843764556745, 100.0)",,"(93.20000457763672, 3.5999999999999996)",,,,,,,,,"(3.200000047683716, 0.8)","(0.0, 14.799999999999999)","(16.399999618530273, 2.8000000000000003)","(2.4000000953674316, 11.600000000000001)",,
tinyimg,FT_prune,vgg16,"(36.479999996948244, 6.72)","(44.288857729584244, 100.0)",,"(70.80000305175781, 3.5999999999999996)",,,,,,,,,"(20.80000114440918, 0.8)","(43.20000076293945, 14.799999999999999)","(18.399999618530273, 2.8000000000000003)","(29.200000762939453, 11.600000000000001)",,
fmnist,retrain,resnet18,"(95.82222222674335, 94.18518518518518)","(91.54, 98.63)",,"(98.6666668927228, 97.51851851851852)","(90.0000001695421, 89.14814814814814)","(97.70370370370371, 94.88888888888889)",,,,,,,,,,,"(95.55555555555556, 93.55555555555556)","(97.18518546775535, 95.81481481481482)"
fmnist,FT,resnet18,"(96.22962964997468, 94.18518518518518)","(91.48, 98.63)",,"(98.48148170753761, 97.51851851851852)","(91.11111116762514, 89.14814814814814)","(98.18518518518519, 94.88888888888889)",,,,,,,,,,,"(96.51851863154658, 93.55555555555556)","(96.85185207790799, 95.81481481481482)"
fmnist,FF,resnet18,"(74.02222216796875, 94.18518518518518)","(55.89, 98.63)",,"(97.25925931577329, 97.51851851851852)","(10.51851853971128, 89.14814814814814)","(84.70370398627387, 94.88888888888889)",,,,,,,,,,,"(77.70370364718967, 93.55555555555556)","(99.92592592592592, 95.81481481481482)"
fmnist,GA,resnet18,"(77.3333332949038, 94.18518518518518)","(80.2, 98.63)",,"(88.77777772126375, 97.51851851851852)","(72.40740746392144, 89.14814814814814)","(80.6296299121998, 94.88888888888889)",,,,,,,,,,,"(88.48148176405165, 93.55555555555556)","(56.37037053991247, 95.81481481481482)"
fmnist,IU,resnet18,"(46.162962968614366, 94.18518518518518)","(63.29, 98.63)",,"(90.81481481481481, 97.51851851851852)","(50.703703788474755, 89.14814814814814)","(41.59259267736364, 94.88888888888889)",,,,,,,,,,,"(0.8518518527348836, 93.55555555555556)","(46.851851823594835, 95.81481481481482)"
fmnist,FT_prune,resnet18,"(24.385185188010887, 94.18518518518518)","(32.91, 98.63)",,"(21.777777791906285, 97.51851851851852)","(0.0, 89.14814814814814)","(5.666666677263048, 94.88888888888889)",,,,,,,,,,,"(94.48148153799552, 93.55555555555556)","(0.0, 95.81481481481482)"
fmnist,retrain,vgg16,"(96.14814813684534, 94.18518518518518)","(92.93, 98.63)",,"(98.77777772126375, 97.51851851851852)","(89.5925925925926, 89.14814814814814)","(98.11111111111111, 94.88888888888889)",,,,,,,,,,,"(97.07407424361618, 93.55555555555556)","(97.18518529821326, 95.81481481481482)"
fmnist,FT,vgg16,"(96.940740713614, 94.18518518518518)","(92.71, 98.63)",,"(98.6666668927228, 97.51851851851852)","(92.59259287516277, 89.14814814814814)","(98.85185179533782, 94.88888888888889)",,,,,,,,,,,"(97.18518546775535, 93.55555555555556)","(97.40740752043547, 95.81481481481482)"
fmnist,FF,vgg16,"(0, 0)","(0, 0)",,"(0, 0)","(0, 0)","(0, 0)",,,,,,,,,,,"(0, 0)","(0, 0)"
fmnist,GA,vgg16,"(27.696296297426578, 94.18518518518518)","(56.11, 98.63)",,"(5.518518532647027, 97.51851851851852)","(90.40740768997757, 89.14814814814814)","(27.777777791906285, 94.88888888888889)",,,,,,,,,,,"(14.111111153496637, 93.55555555555556)","(0.6666666666666666, 95.81481481481482)"
fmnist,IU,vgg16,"(27.429629600242333, 94.18518518518518)","(58.13, 98.63)",,"(0.037037037037037035, 97.51851851851852)","(19.29629630336055, 89.14814814814814)","(20.851851880108867, 94.88888888888889)",,,,,,,,,,,"(33.48148148148148, 93.55555555555556)","(63.48148148148148, 95.81481481481482)"
fmnist,FT_prune,vgg16,"(92.89629624204282, 94.18518518518518)","(82.7, 98.63)",,"(96.40740746392144, 97.51851851851852)","(86.7037038732458, 89.14814814814814)","(94.88888917145906, 94.88888888888889)",,,,,,,,,,,"(93.85185179533782, 93.55555555555556)","(92.6296299121998, 95.81481481481482)"
